iter	RMSE
0	2715.359143
1	2463.296327
2	2238.360501
3	2034.328693
4	1852.217511
5	1686.695143
6	1537.492907
7	1405.838305
8	1286.71279
9	1180.782495
10	1085.654436
11	1001.005691
12	926.381675
13	859.6384153
14	800.4216834
15	749.6019462
16	703.426321
17	663.1188248
18	628.2088816
19	597.659161
20	571.327169
21	548.6826279
22	529.2161461
23	512.1102128
24	497.7171182
25	485.5579705
26	474.8562103
27	465.9464783
28	458.5304409
29	452.3098188
30	446.82865
31	442.3112308
32	438.4905441
33	435.4035732
34	432.7211502
35	430.3043349
36	428.2127826
37	426.4525428
38	424.3734923
39	423.1499377
40	420.919368
41	419.7655097
42	417.3551418
43	415.7119234
44	413.6565372
45	411.7379802
46	410.1746952
47	409.2297659
48	408.3669098
49	407.9089773
50	405.8258495
51	405.3024387
52	403.4654506
53	403.0831781
54	401.7237262
55	400.9476285
56	400.503601
57	400.1019252
58	399.7633364
59	399.0484208
60	398.5886517
61	398.2024071
62	397.4127136
63	396.2744256
64	395.7162102
65	395.0279524
66	394.5437038
67	394.2390053
68	393.4064126
69	393.1016974
70	392.8717613
71	391.742824
72	390.5603738
73	390.4124888
74	389.6452281
75	389.158136
76	388.6988036
77	388.5304079
78	387.7742647
79	386.9482607
80	386.6176492
81	385.9489543
82	385.7444207
83	385.5240919
84	385.2035979
85	384.6041167
86	384.4079773
87	383.7230611
88	383.1805097
89	382.9960826
90	382.4709463
91	382.0339603
92	381.400608
93	381.1132045
94	380.6893228
95	380.1572396
96	379.4864067
97	379.3127593
98	378.7606945
99	378.3876821
100	378.0713915
101	377.7534949
102	377.2529398
103	377.0740819
104	376.8897065
105	376.6073421
106	376.4808449
107	376.0532023
108	375.7481682
109	375.5770515
110	375.0028668
111	374.792196
112	374.4738489
113	374.2399314
114	374.1274471
115	373.7084394
116	373.4771049
117	373.2615514
118	372.898062
119	372.6534568
120	372.2832982
121	372.1313107
122	371.8004832
123	371.6298239
124	371.4801289
125	370.9408614
126	370.7421148
127	370.5536686
128	370.2552109
129	370.0177977
130	369.6099279
131	369.2896417
132	369.0374568
133	368.8249225
134	368.589277
135	368.1414383
136	368.0009728
137	367.8802411
138	367.7419485
139	367.6590646
140	367.5303121
141	367.3623209
142	367.2677024
143	366.9074345
144	366.658969
145	366.4970021
146	366.2833527
147	366.1247183
148	365.9144762
149	365.66358
150	365.4795923
151	365.2982944
152	365.1308044
153	365.0937144
154	364.9284017
155	364.7648039
156	364.6280922
157	364.4288696
158	364.2269403
159	364.161089
160	363.8787211
161	363.7268939
162	363.3481478
163	363.2312771
164	363.0849117
165	362.9675872
166	362.9340789
167	362.7694497
168	362.5150973
169	362.2607244
170	362.0568765
171	361.8572771
172	361.7952136
173	361.5810538
174	361.3527032
175	361.2541415
176	361.1730873
177	361.0906985
178	360.9223883
179	360.7869988
180	360.7039227
181	360.3918963
182	360.1442392
183	360.0162729
184	359.8840267
185	359.7568672
186	359.4856628
187	359.4249625
188	359.218042
189	359.0545873
190	358.890901
191	358.8314414
192	358.6885539
193	358.5408242
194	358.4123433
195	358.1015437
196	357.9751208
197	357.849419
198	357.8036767
199	357.6241965
200	357.4933037
201	357.4512372
202	357.3267726
203	357.2496735
204	357.0913263
205	356.9796625
206	356.8980618
207	356.7234748
208	356.5459742
209	356.2365826
210	356.1224433
211	356.0301049
212	355.9794053
213	355.8213145
214	355.7372455
215	355.59822
216	355.4031611
217	355.1311364
218	355.068736
