iter	Passed	Remaining
0	36	54203
1	70	53067
2	110	55230
3	143	53807
4	175	52404
5	206	51434
6	239	50994
7	276	51495
8	313	51855
9	345	51497
10	384	52035
11	419	52002
12	457	52331
13	493	52404
14	527	52242
15	564	52361
16	599	52329
17	643	52963
18	690	53812
19	726	53772
20	758	53395
21	792	53243
22	828	53185
23	865	53234
24	900	53151
25	938	53207
26	973	53089
27	1004	52830
28	1037	52648
29	1073	52579
30	1110	52609
31	1145	52568
32	1179	52422
33	1222	52695
34	1261	52810
35	1306	53134
36	1346	53225
37	1388	53411
38	1431	53619
39	1472	53740
40	1519	54075
41	1569	54493
42	1664	56398
43	1728	57204
44	1794	58034
45	1845	58327
46	1920	59385
47	1978	59842
48	2096	62094
49	2137	61979
50	2171	61683
51	2214	61655
52	2261	61734
53	2305	61747
54	2348	61694
55	2391	61659
56	2434	61619
57	2467	61343
58	2509	61288
59	2546	61121
60	2602	61383
61	2635	61137
62	2678	61100
63	2723	61101
64	2755	60822
65	2793	60695
66	2824	60420
67	2864	60327
68	2904	60234
69	2945	60177
70	2969	59756
71	3010	59701
72	3050	59629
73	3080	59362
74	3120	59289
75	3150	59029
76	3185	58866
77	3212	58560
78	3253	58516
79	3288	58366
80	3318	58130
81	3355	58019
82	3388	57843
83	3419	57641
84	3447	57389
85	3484	57292
86	3509	57006
87	3537	56753
88	3569	56585
89	3596	56341
90	3627	56162
91	3663	56064
92	3693	55878
93	3727	55746
94	3765	55686
95	3800	55587
96	3833	55446
97	3866	55316
98	3900	55200
99	3932	55048
100	3964	54913
101	3999	54811
102	4025	54604
103	4059	54496
104	4093	54389
105	4120	54191
106	4151	54046
107	4182	53909
108	4221	53869
109	4265	53895
110	4300	53810
111	4339	53772
112	4379	53761
113	4411	53629
114	4438	53451
115	4470	53342
116	4508	53296
117	4539	53161
118	4566	52993
119	4601	52913
120	4638	52869
121	4671	52767
122	4708	52709
123	4742	52622
124	4776	52538
125	4811	52472
126	4837	52303
127	4863	52135
128	4896	52037
129	4925	51909
130	4951	51749
131	4988	51702
132	5017	51568
133	5046	51448
134	5082	51392
135	5114	51298
136	5138	51126
137	5166	50987
138	5192	50844
139	5219	50700
140	5259	50691
141	5292	50616
142	5328	50564
143	5363	50508
144	5399	50457
145	5426	50327
146	5457	50227
147	5492	50176
148	5529	50136
149	5557	50014
150	5594	49982
151	5627	49909
152	5657	49806
153	5681	49656
154	5714	49586
155	5746	49506
156	5775	49407
157	5814	49387
158	5844	49288
159	5876	49214
160	5909	49145
161	5940	49063
162	5973	48995
163	6002	48896
164	6029	48787
165	6064	48735
166	6090	48616
167	6114	48479
168	6149	48428
169	6179	48347
170	6206	48232
171	6243	48202
172	6274	48127
173	6306	48056
174	6344	48035
175	6383	48024
176	6418	47978
177	6451	47913
178	6485	47862
179	6511	47749
180	6545	47695
181	6580	47655
182	6615	47608
183	6643	47513
184	6669	47410
185	6698	47318
186	6729	47253
187	6763	47203
188	6796	47143
189	6832	47104
190	6864	47046
191	6892	46957
192	6925	46896
193	6958	46844
194	6992	46796
195	7026	46747
196	7061	46706
197	7095	46656
198	7121	46558
199	7154	46506
200	7188	46457
201	7222	46410
202	7265	46419
203	7294	46338
204	7332	46319
205	7360	46236
206	7390	46162
207	7422	46107
208	7456	46060
209	7490	46011
210	7524	45967
211	7552	45887
212	7584	45829
213	7614	45760
214	7648	45714
215	7674	45620
216	7706	45564
217	7738	45509
218	7768	45439
219	7808	45430
220	7837	45360
221	7861	45257
222	7904	45267
223	7938	45219
224	7968	45156
225	7997	45080
226	8030	45036
227	8063	44984
228	8093	44921
229	8127	44876
230	8156	44805
231	8184	44729
232	8211	44652
233	8240	44583
234	8273	44534
235	8309	44502
236	8350	44502
237	8383	44451
238	8422	44438
239	8466	44448
240	8507	44443
241	8547	44433
242	8593	44450
243	8650	44528
244	8860	45386
245	8906	45400
246	8931	45310
247	8963	45250
248	8996	45199
249	9026	45132
250	9051	45042
251	9085	44992
252	9118	44945
253	9155	44914
254	9189	44866
255	9221	44811
256	9255	44764
257	9294	44744
258	9342	44766
259	9381	44742
260	9422	44729
261	9470	44747
262	9514	44751
263	9558	44753
264	9597	44726
265	9652	44779
266	9691	44756
267	9732	44739
268	9775	44733
269	9836	44811
270	9871	44765
271	9907	44727
272	9939	44671
273	9976	44638
274	10016	44618
275	10062	44626
276	10102	44605
277	10138	44564
278	10177	44538
279	10220	44533
280	10259	44506
281	10299	44484
282	10334	44443
283	10378	44436
284	10410	44381
285	10461	44406
286	10494	44354
287	10538	44348
288	10578	44327
289	10612	44278
290	10650	44250
291	10682	44193
292	10716	44145
293	10757	44129
294	10797	44106
295	10854	44152
296	10888	44105
297	10923	44062
298	10964	44041
299	11003	44014
300	11039	43975
301	11085	43973
302	11113	43902
303	11143	43840
304	11175	43786
305	11206	43728
306	11241	43685
307	11280	43656
308	11312	43602
309	11354	43585
310	11386	43532
311	11415	43468
312	11447	43413
313	11480	43363
314	11510	43299
315	11543	43250
316	11574	43194
317	11601	43121
318	11634	43074
319	11669	43030
320	11703	42986
321	11729	42909
322	11757	42844
323	11783	42769
324	11812	42705
325	11851	42678
326	11887	42642
327	11921	42597
328	11958	42564
329	11992	42519
330	12022	42461
331	12055	42411
332	12089	42369
333	12121	42315
334	12149	42251
335	12181	42199
336	12211	42141
337	12244	42096
338	12280	42056
339	12313	42010
340	12345	41958
341	12380	41921
342	12414	41875
